name,image_url
Renew You Anti Aging Facial Wash,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1663753255.png
C-Defense Mousse Moisturizer,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1656152090.png
C-Defense Energizing Whip Foam,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1656152134.png
C-Defense Sleeping Mask,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1656152071.png
C-Defense Waterclay Mask,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1656152051.png
C-Defense Serum,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1656152016.png
C-Defense Face Mist,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1656151996.png
C-Defense Energizing Creamy Wash,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1656151981.png
Acnederm Acne Care Micellar Water,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1718342201.webp
Acnederm Acne Spot Treatment Gel,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648519426.png
Acnederm Night Treatment Moisturizer,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648519409.png
Acnederm Day Moisturizer,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648519392.png
Acnederm Pure Refining Toner,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648519371.png
Acnederm Pure Foaming Cleanser,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648519356.png
Acnederm Pore Blackhead Balm,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1656145294.png
